,Show,NAME,LAT,LONG,COUNTRY,geometry
148,no,Lions Den,30.02145012,-17.26004997,Zimbabwe,POINT (30.02145012 -17.26004997)
149,no,Lochard,29.02286988,-19.91880999,Zimbabwe,POINT (29.02286988 -19.91880999)
150,no,Lubimbi,27.27681984,-18.49209003,Zimbabwe,POINT (27.27681984 -18.49209003)
151,no,Luck,30.71323008,-19.22373,Zimbabwe,POINT (30.71323008 -19.22373)
152,no,Lukosi,26.49501,-18.49143996,Zimbabwe,POINT (26.49501 -18.49143996)
153,no,Lupane,27.76866012,-18.94885002,Zimbabwe,POINT (27.76866012 -18.94885002)
154,no,Lusulu,27.83527992,-18.07502004,Zimbabwe,POINT (27.83527992 -18.07502004)
155,no,Lutombe,30.12372,-22.14222003,Zimbabwe,POINT (30.12372 -22.14222003)
156,no,Mabalauta,31.48005996,-21.92678001,Zimbabwe,POINT (31.48005996 -21.92678001)
157,no,Mabuze,29.44145016,-20.93120001,Zimbabwe,POINT (29.44145016 -20.93120001)
158,no,Mabvuku,31.18722984,-17.83673001,Zimbabwe,POINT (31.18722984 -17.83673001)
159,yes,Machipanda,32.70814992,-19.01061,Zimbabwe,POINT (32.70814992 -19.01061)
160,no,Madadzi,29.76103008,-16.89870996,Zimbabwe,POINT (29.76103008 -16.89870996)
161,no,Madzivazido,28.50774012,-17.63666001,Zimbabwe,POINT (28.50774012 -17.63666001)
162,no,Magunge,29.39509008,-16.85637999,Zimbabwe,POINT (29.39509008 -16.85637999)
163,no,Main Camp,26.95136004,-18.73424997,Zimbabwe,POINT (26.95136004 -18.73424997)
164,no,Makado,29.72049012,-21.45065004,Zimbabwe,POINT (29.72049012 -21.45065004)
165,no,Makaha,32.39772984,-17.36170002,Zimbabwe,POINT (32.39772984 -17.36170002)
166,no,Makosa Township,32.48199,-17.27754003,Zimbabwe,POINT (32.48199 -17.27754003)
167,no,Makumbi,31.24760004,-17.52999003,Zimbabwe,POINT (31.24760004 -17.52999003)
168,no,Makuti,29.25951012,-16.31345004,Zimbabwe,POINT (29.25951012 -16.31345004)
